Close,Date,High,Low,Open,Volume
1.56574,2015-07-29T11:00:00.000000000Z,1.5667,1.56334,1.56403,1780
1.56507,2015-07-29T13:00:00.000000000Z,1.569,1.56463,1.56578,2684
1.56218,2015-07-29T15:00:00.000000000Z,1.56543,1.5612,1.56505,2339
1.56169,2015-07-29T17:00:00.000000000Z,1.5656,1.56025,1.56213,6085
1.56041,2015-07-29T19:00:00.000000000Z,1.56181,1.55939,1.56164,1985
1.56063,2015-07-29T21:00:00.000000000Z,1.56081,1.55956,1.55993,3093
1.56006,2015-07-29T23:00:00.000000000Z,1.56113,1.55899,1.56063,559
1.56057,2015-07-30T01:00:00.000000000Z,1.5608,1.55971,1.56011,747
1.56031,2015-07-30T03:00:00.000000000Z,1.56075,1.55943,1.56063,331
1.56047,2015-07-30T05:00:00.000000000Z,1.56082,1.55888,1.56031,1014
1.56142,2015-07-30T07:00:00.000000000Z,1.56245,1.5591,1.56047,1899
1.56187,2015-07-30T09:00:00.000000000Z,1.56265,1.56096,1.56148,1693
1.56282,2015-07-30T11:00:00.000000000Z,1.56464,1.56061,1.56191,3810
1.56095,2015-07-30T13:00:00.000000000Z,1.56324,1.55927,1.56278,3050
1.5584,2015-07-30T15:00:00.000000000Z,1.56163,1.55625,1.561,2253
1.56005,2015-07-30T17:00:00.000000000Z,1.56006,1.55739,1.55835,1365
1.56022,2015-07-30T19:00:00.000000000Z,1.561,1.55972,1.56011,893
1.55964,2015-07-30T21:00:00.000000000Z,1.56043,1.55914,1.56025,4034
1.55958,2015-07-30T23:00:00.000000000Z,1.56116,1.55942,1.55971,544
1.56098,2015-07-31T01:00:00.000000000Z,1.56105,1.55928,1.5596,664
1.56126,2015-07-31T03:00:00.000000000Z,1.56144,1.56058,1.56096,438
1.55854,2015-07-31T05:00:00.000000000Z,1.56158,1.55854,1.56131,1041
1.55661,2015-07-31T07:00:00.000000000Z,1.5591,1.55491,1.55848,2203
1.55741,2015-07-31T09:00:00.000000000Z,1.55967,1.55558,1.55666,2474
1.56551,2015-07-31T11:00:00.000000000Z,1.56781,1.5559,1.55735,5125
1.5607,2015-07-31T13:00:00.000000000Z,1.56757,1.56017,1.56558,5348
1.5625,2015-07-31T15:00:00.000000000Z,1.56504,1.5597,1.56065,2908
1.56155,2015-07-31T17:00:00.000000000Z,1.56375,1.56149,1.56255,1579
1.56201,2015-07-31T19:00:00.000000000Z,1.56285,1.56117,1.5615,2345
1.56282,2015-08-02T21:00:00.000000000Z,1.56395,1.56194,1.56376,2388
1.5623,2015-08-02T23:00:00.000000000Z,1.56379,1.56163,1.56281,954
1.562,2015-08-03T01:00:00.000000000Z,1.56326,1.56173,1.56224,763
1.56214,2015-08-03T03:00:00.000000000Z,1.563,1.56186,1.56194,574
1.56419,2015-08-03T05:00:00.000000000Z,1.56444,1.56174,1.5622,1153
1.56222,2015-08-03T07:00:00.000000000Z,1.56452,1.56115,1.56424,2471
1.55996,2015-08-03T09:00:00.000000000Z,1.56273,1.55837,1.56228,2038
1.55861,2015-08-03T11:00:00.000000000Z,1.55992,1.55656,1.55992,2273
1.5619,2015-08-03T13:00:00.000000000Z,1.56245,1.55793,1.55856,2678
1.55898,2015-08-03T15:00:00.000000000Z,1.56191,1.558,1.56186,1783
1.55834,2015-08-03T17:00:00.000000000Z,1.55957,1.55804,1.55892,1053
1.56282,2015-08-02T21:00:00.000000000Z,1.56395,1.56194,1.56376,2388
1.5623,2015-08-02T23:00:00.000000000Z,1.56379,1.56163,1.56281,954
1.562,2015-08-03T01:00:00.000000000Z,1.56326,1.56173,1.56224,763
1.56214,2015-08-03T03:00:00.000000000Z,1.563,1.56186,1.56194,574
1.56419,2015-08-03T05:00:00.000000000Z,1.56444,1.56174,1.5622,1153
1.56222,2015-08-03T07:00:00.000000000Z,1.56452,1.56115,1.56424,2471
1.55996,2015-08-03T09:00:00.000000000Z,1.56273,1.55837,1.56228,2038
1.55861,2015-08-03T11:00:00.000000000Z,1.55992,1.55656,1.55992,2273
1.5619,2015-08-03T13:00:00.000000000Z,1.56245,1.55793,1.55856,2678
1.55898,2015-08-03T15:00:00.000000000Z,1.56191,1.558,1.56186,1783
1.55834,2015-08-03T17:00:00.000000000Z,1.55957,1.55804,1.55892,1053
1.55859,2015-08-03T19:00:00.000000000Z,1.55883,1.55814,1.55828,662
1.55874,2015-08-03T21:00:00.000000000Z,1.5593,1.55838,1.55874,3491
1.55734,2015-08-03T23:00:00.000000000Z,1.55912,1.55714,1.55869,511
1.55977,2015-08-04T01:00:00.000000000Z,1.55992,1.55738,1.55738,589
1.55962,2015-08-04T03:00:00.000000000Z,1.56,1.55858,1.55971,550
1.56021,2015-08-04T05:00:00.000000000Z,1.56181,1.55927,1.55957,1199
1.55836,2015-08-04T07:00:00.000000000Z,1.56156,1.55705,1.56016,3015
1.55952,2015-08-04T09:00:00.000000000Z,1.56034,1.55799,1.5583,2114
1.56078,2015-08-04T11:00:00.000000000Z,1.56288,1.55947,1.55958,1718
1.55861,2015-08-03T11:00:00.000000000Z,1.55992,1.55656,1.55992,2273
1.5619,2015-08-03T13:00:00.000000000Z,1.56245,1.55793,1.55856,2678
1.55898,2015-08-03T15:00:00.000000000Z,1.56191,1.558,1.56186,1783
1.55834,2015-08-03T17:00:00.000000000Z,1.55957,1.55804,1.55892,1053
1.55859,2015-08-03T19:00:00.000000000Z,1.55883,1.55814,1.55828,662
1.55874,2015-08-03T21:00:00.000000000Z,1.5593,1.55838,1.55874,3491
1.55734,2015-08-03T23:00:00.000000000Z,1.55912,1.55714,1.55869,511
1.55977,2015-08-04T01:00:00.000000000Z,1.55992,1.55738,1.55738,589
1.55962,2015-08-04T03:00:00.000000000Z,1.56,1.55858,1.55971,550
1.56021,2015-08-04T05:00:00.000000000Z,1.56181,1.55927,1.55957,1199
1.55836,2015-08-04T07:00:00.000000000Z,1.56156,1.55705,1.56016,3015
1.55952,2015-08-04T09:00:00.000000000Z,1.56034,1.55799,1.5583,2114
1.56078,2015-08-04T11:00:00.000000000Z,1.56288,1.55947,1.55958,1718
1.55975,2015-08-04T13:00:00.000000000Z,1.56152,1.55602,1.56073,2693
1.56304,2015-08-04T15:00:00.000000000Z,1.56344,1.55969,1.5598,1891
1.55673,2015-08-04T17:00:00.000000000Z,1.56317,1.55603,1.56302,2479
1.55647,2015-08-04T19:00:00.000000000Z,1.55755,1.55581,1.55675,1158
1.5566,2015-08-04T21:00:00.000000000Z,1.55684,1.55611,1.55648,3429
1.5569,2015-08-04T23:00:00.000000000Z,1.55696,1.55595,1.55659,824
1.55392,2015-08-05T01:00:00.000000000Z,1.55692,1.55263,1.55689,1103
1.5542,2015-08-05T03:00:00.000000000Z,1.55462,1.55373,1.55386,448
1.55585,2015-08-05T05:00:00.000000000Z,1.55657,1.55351,1.55426,1362
1.55824,2015-08-05T07:00:00.000000000Z,1.56063,1.55564,1.55586,2792
1.55916,2015-08-05T09:00:00.000000000Z,1.5593,1.55689,1.55829,2031
1.56368,2015-08-05T11:00:00.000000000Z,1.56527,1.55905,1.55911,4348
1.56066,2015-08-05T13:00:00.000000000Z,1.56438,1.56057,1.56372,4451
1.56047,2015-08-05T15:00:00.000000000Z,1.56209,1.55893,1.56072,1762
1.55974,2015-08-05T17:00:00.000000000Z,1.56223,1.55953,1.56052,1491
1.56026,2015-08-05T19:00:00.000000000Z,1.56061,1.5597,1.5598,755
1.56007,2015-08-05T21:00:00.000000000Z,1.56042,1.55973,1.56015,2146
1.56151,2015-08-05T23:00:00.000000000Z,1.56187,1.56003,1.56009,646
1.56159,2015-08-06T01:00:00.000000000Z,1.56236,1.56111,1.56157,926
1.56201,2015-08-06T03:00:00.000000000Z,1.56266,1.56161,1.56161,468
1.56245,2015-08-06T05:00:00.000000000Z,1.56373,1.56157,1.56202,1049
1.56094,2015-08-06T07:00:00.000000000Z,1.56336,1.55943,1.5624,1835
1.55828,2015-08-06T09:00:00.000000000Z,1.5628,1.55705,1.56087,2176
1.55272,2015-08-06T11:00:00.000000000Z,1.55912,1.54675,1.559,10747
1.55026,2015-08-06T13:00:00.000000000Z,1.5541,1.54926,1.55267,2479
1.55326,2015-08-06T15:00:00.000000000Z,1.55326,1.54962,1.5503,1782
1.55156,2015-08-06T17:00:00.000000000Z,1.5532,1.55066,1.5532,904
1.5512,2015-08-06T19:00:00.000000000Z,1.55235,1.55115,1.55151,510
1.55113,2015-08-06T21:00:00.000000000Z,1.552,1.55097,1.55112,1832
1.55171,2015-08-06T23:00:00.000000000Z,1.55185,1.55085,1.55113,451
1.55105,2015-08-07T01:00:00.000000000Z,1.55186,1.54982,1.55171,679
1.5514,2015-08-07T03:00:00.000000000Z,1.5519,1.55071,1.55105,471
1.55026,2015-08-07T05:00:00.000000000Z,1.55238,1.55,1.55146,832
1.55233,2015-08-07T07:00:00.000000000Z,1.55267,1.54884,1.55021,2807
1.55095,2015-08-07T09:00:00.000000000Z,1.55295,1.55095,1.55235,1561
1.54734,2015-08-07T11:00:00.000000000Z,1.55471,1.5473,1.551,6967
1.54708,2015-08-07T13:00:00.000000000Z,1.54949,1.5425,1.54735,5301
1.54776,2015-08-07T15:00:00.000000000Z,1.54798,1.54532,1.54704,3307
1.54931,2015-08-07T17:00:00.000000000Z,1.55014,1.54777,1.54782,1330
1.54952,2015-08-07T19:00:00.000000000Z,1.54987,1.54854,1.54932,1836
1.54953,2015-08-09T21:00:00.000000000Z,1.54975,1.54874,1.54903,1380
1.54847,2015-08-09T23:00:00.000000000Z,1.54954,1.54791,1.54954,446
1.54875,2015-08-10T01:00:00.000000000Z,1.5498,1.54813,1.54841,612
1.54899,2015-08-10T03:00:00.000000000Z,1.54902,1.54815,1.54869,370
1.54956,2015-08-10T05:00:00.000000000Z,1.54977,1.54858,1.54904,647
1.54714,2015-08-10T07:00:00.000000000Z,1.55071,1.54585,1.54958,1843
